ts;event_id;aattacks;ablocked_shots;acorners;adangerous_attacks;adangerous_free_kicks;afouls;afree_kicks;agoal;agoal_kicks;aoffsides;apenalties;ared_cards;ashots_off_target;ashots_off_woodwork;ashots_on_target;asubstitutions;athrow_ins;atotal_cards;atotal_shots;ayellow_cards;hattacks;hblocked_shots;hcorners;hdangerous_attacks;hdangerous_free_kicks;hfouls;hfree_kicks;hgoal;hgoal_kicks;hoffsides;hpenalties;hred_cards;hshots_off_target;hshots_off_woodwork;hshots_on_target;hsubstitutions;hthrow_ins;htotal_cards;htotal_shots;hyellow_cards
2021-04-08 22:25:35.000000;30410135;43;0;1;25;0;9;11;0;1;2;0;0;2;0;1;0;8;0;3;0;38;2;1;22;2;11;9;3;5;0;0;0;1;1;6;0;9;1;7;1
2021-04-08 22:28:34.000000;30366512;107;3;5;57;0;4;3;1;10;0;1;0;4;0;7;1;14;0;11;0;84;1;5;48;0;4;4;0;6;3;0;0;5;0;7;2;15;0;12;0
2021-04-08 22:28:34.000000;30366513;68;0;3;38;1;5;10;1;5;4;0;0;2;0;3;1;9;0;5;0;113;2;7;59;1;10;4;1;4;3;1;0;2;0;7;1;10;1;9;1
2021-04-08 22:28:34.000000;30412191;69;0;2;19;0;6;15;1;8;1;0;0;2;0;1;1;12;1;3;1;110;0;4;36;0;15;6;0;2;2;0;0;2;0;0;3;28;2;2;2
2021-04-08 22:28:34.000000;30366510;102;8;5;87;3;9;11;1;10;0;0;0;4;0;9;2;14;3;13;3;78;2;8;67;2;11;9;0;5;2;0;0;7;1;6;1;15;1;13;1
2021-04-08 22:28:34.000000;30366511;64;3;2;23;0;15;9;0;6;0;0;0;1;0;5;3;19;1;6;1;86;1;2;39;3;9;15;0;5;0;0;0;5;2;2;1;13;0;7;0
2021-04-08 22:30:39.000000;30410135;43;0;1;25;0;9;11;0;1;2;0;0;2;0;1;0;8;0;3;0;38;2;1;22;2;11;9;3;5;0;0;0;1;1;6;0;9;1;7;1
2021-04-08 22:33:50.000000;30366512;115;3;6;61;0;5;3;1;10;0;1;0;4;0;8;2;17;0;12;0;89;1;5;51;0;4;5;0;7;4;0;0;5;0;7;3;15;0;12;0
2021-04-08 22:33:50.000000;30366513;71;0;3;39;1;6;10;1;5;4;0;0;2;0;3;2;9;0;5;0;118;2;7;63;2;10;5;1;4;3;1;0;2;0;8;1;11;1;10;1
2021-04-08 22:33:50.000000;30412191;77;0;2;20;0;6;15;1;9;1;0;0;2;0;1;1;12;1;3;1;115;0;4;40;0;15;6;1;3;2;0;0;2;0;1;3;29;2;3;2
2021-04-08 22:33:50.000000;30366510;106;8;5;90;3;10;11;1;10;0;0;0;4;0;9;3;14;4;13;4;89;2;9;73;3;11;10;0;5;2;0;0;7;1;6;3;18;1;13;1
2021-04-08 22:33:50.000000;30366511;69;3;2;25;0;15;9;0;8;0;0;0;2;0;5;3;19;1;7;1;88;1;2;41;3;9;15;0;7;0;0;0;7;2;2;4;14;0;9;0
2021-04-08 22:35:42.000000;30410135;47;0;1;27;0;9;11;0;1;2;0;0;2;0;1;1;8;0;3;0;40;2;1;23;2;11;9;3;5;0;0;0;1;1;6;0;10;1;7;1
2021-04-08 22:39:06.000000;30366512;124;3;6;61;0;6;3;1;11;0;1;0;4;0;8;2;19;1;12;1;97;1;5;53;0;4;6;0;7;4;0;0;5;0;7;3;17;0;12;0
2021-04-08 22:39:06.000000;30366513;75;0;3;39;1;7;10;1;7;4;0;0;2;0;3;3;9;1;5;1;126;2;8;70;2;10;6;1;4;3;1;0;3;0;9;2;14;1;12;1
2021-04-08 22:39:06.000000;30412191;79;0;2;21;0;8;15;1;9;1;0;0;2;0;2;3;13;3;4;3;123;0;4;43;0;15;8;1;3;2;0;0;2;0;1;3;30;2;3;2
2021-04-08 22:39:06.000000;30366510;118;8;5;96;3;11;11;1;12;0;0;0;4;0;9;3;15;4;13;4;92;2;9;80;3;11;11;0;6;2;0;0;7;1;6;3;19;1;13;1
2021-04-08 22:39:06.000000;30366511;72;3;2;26;0;15;9;0;8;0;0;0;2;0;5;4;20;1;7;1;94;1;5;49;3;9;15;0;7;0;0;0;7;2;2;4;16;0;9;0
2021-04-08 22:40:45.000000;30410135;51;0;3;32;1;9;13;0;1;2;0;0;2;0;2;1;8;0;4;0;43;2;1;24;2;13;9;3;5;0;0;0;1;1;6;0;10;2;7;2
2021-04-08 22:44:28.000000;30366512;140;3;6;64;0;7;3;1;11;0;1;0;4;0;8;2;21;1;12;1;102;1;5;56;0;4;7;0;7;4;0;0;5;0;7;5;18;0;12;0
